serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
9337546	65	11	1	1	1	0	0	0	0	0	1	1	12	2	1	0	2	1	3	0	1	1	3	1	52	40	30700	2	1	1	1	0	2	0	0	4	4	2	1	2	2
2377958	33	53	2	2	1	0	0	0	0	0	1	3	1	1	5	1986	2	1	4	0	6	2	0	2	0	0	0	7	3	2	0	4	6	4	4	2	2	2	2	3	6
3909889	33	24	1	24	0	0	0	0	0	1	8	5	3	1	5	1981	2	2	4	0	6	1	1	2	0	0	0	12	3	2	0	4	7	2	2	3	3	2	2	3	6
5885257	44	21	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	36	20	40000	3	1	1	0	1	3	1	1	2	2	2	1	3	1
7832474	27	22	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	3	1	1	1	6	2	3250	3	1	1	0	1	3	1	1	1	1	2	1	3	1
8554885	44	21	2	1	1	0	0	0	0	0	1	4	13	2	1	0	2	2	4	0	1	1	2	1	52	40	36000	2	2	3	0	1	2	1	1	2	2	2	1	2	7
3697194	47	22	1	2	0	0	0	0	0	1	8	1	3	1	4	1972	2	2	4	0	1	1	1	1	40	50	20000	8	1	1	0	3	8	3	3	2	2	2	2	4	1
4534940	54	19	1	1	1	0	0	0	0	0	1	3	13	2	1	0	2	2	4	0	1	1	1	1	48	20	10000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
784207	36	16	2	1	1	0	0	0	0	0	1	1	13	1	3	1989	2	2	4	0	6	1	1	1	52	32	70800	2	1	1	0	0	2	0	0	4	4	2	3	3	2
5096568	57	19	1	2	1	0	0	0	0	0	1	1	9	1	4	1967	2	2	4	0	6	1	1	1	36	40	26000	3	1	1	0	0	3	0	0	4	4	2	2	4	3
9856411	40	14	1	24	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	50	60000	3	1	1	0	1	3	1	1	1	1	2	1	3	1
4236334	22	16	1	1	1	0	0	0	0	0	1	5	10	2	1	0	2	2	4	0	1	1	1	1	52	25	11700	5	1	3	0	2	5	2	2	3	3	2	2	4	7
2366591	27	16	2	1	1	0	0	0	0	0	1	1	6	2	1	0	2	2	4	0	6	1	1	2	0	0	2000	4	2	1	0	1	3	1	1	1	1	2	1	2	2
3459118	34	21	2	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	2	1	2	1	9	30	5710	2	3	3	0	1	2	1	1	2	2	2	1	2	7
2145037	26	21	2	1	1	0	0	0	0	0	1	5	11	2	1	0	2	1	4	0	6	1	6	2	0	0	6600	1	3	6	0	0	0	0	0	4	4	2	1	0	0
5235202	41	19	1	1	0	0	0	1	0	0	6	1	11	1	4	1979	2	2	4	0	6	1	1	1	50	40	18000	3	3	1	0	1	3	1	1	1	1	2	4	3	3
9071293	50	13	1	1	0	0	0	1	0	0	6	1	1	1	5	1992	2	2	4	0	6	2	0	2	0	0	690	11	3	1	0	6	11	4	6	3	3	2	4	3	4
1425717	49	22	1	1	1	0	0	0	0	0	1	1	16	2	1	0	2	2	4	0	1	1	1	1	52	60	462000	3	1	1	0	1	3	1	1	2	2	2	1	3	1
6326377	44	24	1	24	0	0	0	0	0	1	8	3	13	1	4	1969	2	1	4	0	6	1	1	2	0	0	11300	1	3	4	0	0	0	0	0	4	4	2	2	0	0
2834316	31	24	1	1	1	0	0	0	0	0	1	5	12	2	5	1979	2	2	4	0	1	1	6	1	48	40	45600	3	3	3	0	1	2	0	1	4	2	2	1	2	7
5438676	42	26	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	6	1	18	12	5400	4	1	1	0	2	4	2	2	3	3	2	1	3	1
5081265	31	11	1	2	1	0	0	0	0	0	1	1	9	1	5	1989	2	2	4	0	6	1	1	1	47	40	24000	5	1	1	0	2	5	2	2	1	1	2	2	4	4
6526884	21	23	1	1	1	0	0	0	0	0	1	5	11	2	1	0	2	2	4	0	1	1	1	1	52	20	6900	3	2	1	0	0	3	0	0	4	4	2	1	4	1
9482460	34	8	1	1	0	1	0	0	0	0	2	3	12	2	1	0	2	2	4	0	1	1	1	1	52	40	12500	11	3	1	0	6	11	2	6	1	3	2	1	4	1
3721929	35	11	2	2	1	0	0	0	0	0	1	3	5	1	5	1985	2	2	4	0	1	1	1	1	48	40	11000	7	3	3	0	3	3	1	1	2	2	2	2	3	7
465612	30	16	2	1	1	0	0	0	0	0	1	5	11	2	1	0	1	1	4	0	1	1	7	1	52	50	170900	5	2	7	0	0	0	0	0	4	4	2	3	0	0
6193874	32	13	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	2	1	1	1	3	1	52	55	70080	4	1	1	0	2	4	2	2	3	3	2	1	3	1
4771691	53	19	2	1	1	0	0	0	0	0	1	3	9	2	1	0	2	2	4	0	1	1	1	1	52	30	12000	2	1	7	0	0	0	0	0	4	4	2	1	0	0
5021935	31	16	1	2	0	0	0	0	0	1	8	1	3	1	5	1986	2	2	4	0	1	1	1	1	52	48	25000	5	3	1	0	3	5	3	3	3	3	2	2	2	2
6143373	24	13	2	2	0	0	0	0	0	1	8	5	8	1	5	1990	2	2	4	0	1	1	1	1	40	30	16000	5	1	1	0	1	5	1	1	1	1	2	2	4	1
2617356	23	35	1	2	0	0	0	0	0	1	8	5	3	1	5	1996	2	2	4	0	1	1	1	1	52	8	10000	9	3	2	0	1	4	1	1	1	1	2	2	3	5
2447827	54	21	2	1	1	1	1	0	0	0	9	1	12	2	1	0	2	2	4	0	2	1	1	1	52	40	52000	3	1	1	0	0	3	0	0	4	4	2	1	4	1
699389	24	6	1	1	0	0	0	1	0	0	6	5	13	1	5	2000	2	2	4	0	1	1	1	1	52	40	5200	5	3	5	0	0	0	0	0	4	4	2	4	0	0
2778643	45	21	1	2	1	0	0	0	0	0	1	3	9	2	5	1984	2	2	4	0	1	1	1	1	52	40	50000	8	3	3	0	4	7	1	4	2	3	2	2	3	7
1087508	23	10	2	2	1	0	0	0	0	1	9	1	3	1	5	1994	2	2	4	0	1	1	1	2	0	0	0	7	1	2	0	1	7	0	1	4	1	2	2	4	5
4730445	29	37	2	4	1	0	0	0	0	0	1	5	11	1	5	1998	2	2	4	0	1	1	2	1	52	40	24000	2	1	7	0	0	0	0	0	4	4	2	2	0	0
9123167	36	15	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	6	2	0	2	0	0	0	3	1	1	0	1	3	1	1	1	1	2	1	2	2
292030	28	16	2	2	0	0	0	0	0	1	8	1	13	2	1	0	2	2	4	0	1	1	1	1	52	40	63000	3	1	1	0	1	3	1	1	1	1	2	1	3	1
3903506	33	23	1	1	0	0	0	1	0	0	6	1	16	1	5	1991	2	2	4	0	1	1	1	1	52	50	100300	3	3	1	0	1	3	1	1	1	1	2	4	3	2
4481684	27	22	1	2	0	0	0	0	0	1	8	5	7	1	5	1975	1	1	4	0	1	1	1	1	52	40	19000	6	3	1	0	1	6	0	1	4	1	2	2	4	1
662823	44	16	2	1	1	0	0	0	0	0	1	3	11	2	1	0	2	2	4	0	1	1	1	1	52	45	50200	3	3	3	0	0	3	0	0	4	4	2	1	4	7
3724811	31	24	1	2	0	0	0	0	0	1	8	5	9	1	1	0	2	2	4	0	1	1	1	1	52	40	36400	5	3	1	0	2	5	2	2	1	1	2	2	4	1
3445383	38	16	1	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	1	1	48	40	50000	3	3	1	0	1	3	1	1	1	1	2	1	3	1
918668	43	24	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	1	1	52	40	25000	3	1	1	0	1	3	1	1	1	1	2	1	3	1
7690998	48	6	2	1	1	0	0	0	0	0	1	1	13	1	3	1959	2	2	4	0	1	1	2	1	30	40	19000	3	1	1	0	0	3	0	0	4	4	2	2	4	1
7078089	35	29	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	40	19000	4	3	1	0	2	4	2	2	2	2	2	1	3	1
2063110	46	15	1	1	1	0	0	0	0	1	9	1	11	2	1	0	2	2	4	0	1	1	7	1	52	50	50000	4	1	1	0	2	4	2	2	2	2	2	1	3	1
6864535	22	34	1	7	0	0	0	0	0	1	8	1	8	1	5	1978	2	2	4	0	1	1	1	2	0	0	0	16	1	1	0	7	7	5	5	3	3	2	2	3	1
7042002	28	37	1	1	0	0	0	1	0	0	6	1	9	1	4	1979	1	1	4	0	1	1	1	1	50	50	34000	5	3	1	0	3	5	3	3	3	3	2	4	3	1
