serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
7889074	42	16	2	1	1	0	0	0	0	0	1	3	12	2	1	0	2	2	4	0	1	1	1	1	52	40	50000	1	2	6	0	0	0	0	0	4	4	2	1	0	0
1790922	44	21	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	6	1	6	1	28	20	17300	5	3	1	0	3	5	3	3	3	3	2	1	3	2
3734573	50	11	2	1	0	0	1	0	0	0	3	3	13	2	1	0	2	2	4	0	1	1	1	1	52	40	31000	2	3	3	1	0	2	0	0	4	4	2	1	2	8
701553	51	13	1	11	0	0	1	0	0	0	3	3	8	1	4	1968	2	2	4	0	1	1	1	1	52	40	36700	4	1	2	1	1	3	1	1	2	2	2	2	2	5
3862849	47	24	2	1	0	0	0	1	0	0	6	1	13	2	1	0	2	2	4	0	1	1	3	1	52	40	56000	1	1	6	0	0	0	0	0	4	4	2	1	0	0
9670382	49	16	2	2	1	0	0	0	0	0	1	1	1	1	5	1986	2	2	4	0	6	1	1	1	30	40	7500	4	3	1	0	1	2	0	0	4	4	2	2	3	2
2466203	31	12	1	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	2	2	6	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1858465	26	13	2	1	0	0	0	1	0	0	6	1	13	1	5	1999	2	2	4	0	6	2	0	2	0	0	0	3	3	1	0	1	3	1	1	1	1	2	4	2	2
3667179	51	21	1	1	1	0	0	0	0	0	1	2	12	2	1	0	2	2	2	1	1	1	1	1	52	40	39000	2	1	7	0	0	0	0	0	4	4	2	1	0	0
6520315	28	6	2	2	1	0	0	0	0	0	1	1	9	1	5	1989	2	2	4	0	6	1	1	1	3	60	2000	6	3	1	0	4	6	4	4	3	3	2	2	3	2
3981589	37	18	2	2	1	0	0	0	0	0	1	1	12	2	4	1965	2	2	4	0	6	2	0	2	0	0	0	4	1	1	0	2	4	2	2	2	2	2	1	2	2
6828487	59	13	2	2	0	0	0	0	0	1	8	1	3	1	5	1999	2	2	4	0	6	2	0	2	0	0	0	4	1	1	0	0	4	0	0	4	4	2	2	2	2
8869456	22	13	1	1	1	0	0	0	0	0	1	5	11	2	1	0	2	2	4	0	1	1	1	1	48	30	8400	5	1	3	0	2	4	1	2	2	3	2	1	3	7
